Date,value
26/05/1896,40.94
27/05/1896,40.58
28/05/1896,40.2
29/05/1896,40.63
01/06/1896,40.6
02/06/1896,40.04
03/06/1896,39.77
04/06/1896,39.94
05/06/1896,40.32
08/06/1896,39.81
09/06/1896,39.34
10/06/1896,38.41
11/06/1896,39.4
12/06/1896,39.31
15/06/1896,39.93
16/06/1896,40.45
17/06/1896,40.54
18/06/1896,39.76
19/06/1896,40.03
22/06/1896,38.73
23/06/1896,38.14
24/06/1896,38.27
25/06/1896,37.97
26/06/1896,37.89
29/06/1896,35.53
30/06/1896,36.15
01/07/1896,34.59
02/07/1896,34.91
03/07/1896,34.74
06/07/1896,34.87
07/07/1896,35.15
08/07/1896,35.19
09/07/1896,34.68
10/07/1896,34.84
13/07/1896,34.69
14/07/1896,33.43
15/07/1896,32.28
16/07/1896,31.95
17/07/1896,31.94
20/07/1896,30.5
21/07/1896,30.68
22/07/1896,31.99
23/07/1896,32.29
24/07/1896,31.54
27/07/1896,31.46
28/07/1896,30.82
29/07/1896,30.97
30/07/1896,31.48
31/07/1896,32.02
03/08/1896,31.49
04/08/1896,30.99
05/08/1896,30.93
06/08/1896,29.99
07/08/1896,28.66
10/08/1896,28.96
11/08/1896,30.3
12/08/1896,29.37
13/08/1896,30.37
14/08/1896,30.73
17/08/1896,31.06
18/08/1896,30.99
19/08/1896,31.31
20/08/1896,30.72
21/08/1896,30.55
24/08/1896,30.67
25/08/1896,30.61
26/08/1896,30.29
27/08/1896,30.31
28/08/1896,30.88
31/08/1896,31.97
01/09/1896,32.02
02/09/1896,33.49
03/09/1896,33.8
04/09/1896,34.7
08/09/1896,35.5
09/09/1896,35.39
10/09/1896,34.58
11/09/1896,35.3
14/09/1896,34.86
15/09/1896,34.13
16/09/1896,33.32
17/09/1896,34.33
18/09/1896,34.81
21/09/1896,35.53
22/09/1896,35.59
23/09/1896,35.78
24/09/1896,36.23
25/09/1896,36.61
28/09/1896,36.35
29/09/1896,36.33
30/09/1896,36.05
01/10/1896,36.01
02/10/1896,35.88
05/10/1896,35.92
06/10/1896,35.91
07/10/1896,35.3
08/10/1896,35.42
09/10/1896,34.96
12/10/1896,34.74
13/10/1896,36.18
14/10/1896,36.15
15/10/1896,36.2
16/10/1896,36.26
19/10/1896,36.5
20/10/1896,37.42
21/10/1896,37.32
22/10/1896,37.86
23/10/1896,38.49
26/10/1896,38.71
27/10/1896,38.88
28/10/1896,38.39
29/10/1896,37.75
30/10/1896,39.4
02/11/1896,40.93
04/11/1896,42.79
