Date,value
05/02/1971,100
08/02/1971,100.84
09/02/1971,100.76
10/02/1971,100.69
11/02/1971,101.45
12/02/1971,102.05
16/02/1971,102.19
17/02/1971,101.74
18/02/1971,101.42
19/02/1971,100.7
22/02/1971,99.68
23/02/1971,99.72
24/02/1971,100.64
25/02/1971,101.23
26/02/1971,101.34
01/03/1971,101.78
02/03/1971,101.84
03/03/1971,102.07
04/03/1971,102.78
05/03/1971,103
08/03/1971,104.23
09/03/1971,104.41
10/03/1971,104.14
11/03/1971,104.26
12/03/1971,104.5
15/03/1971,105.13
16/03/1971,105.56
17/03/1971,105.5
18/03/1971,105.88
19/03/1971,105.77
22/03/1971,105.37
23/03/1971,105.11
24/03/1971,104.7
25/03/1971,104.6
26/03/1971,105.07
29/03/1971,105.2
30/03/1971,105.44
31/03/1971,105.97
01/04/1971,106.34
02/04/1971,106.86
05/04/1971,107.17
06/04/1971,107.56
07/04/1971,108.06
08/04/1971,108.38
12/04/1971,108.87
13/04/1971,108.85
14/04/1971,109.08
15/04/1971,109.69
16/04/1971,109.96
19/04/1971,110.16
20/04/1971,109.53
21/04/1971,109.52
22/04/1971,109.99
23/04/1971,110.69
26/04/1971,111.13
27/04/1971,111.69
28/04/1971,112.37
29/04/1971,112.46
30/04/1971,112.3
03/05/1971,111.35
04/05/1971,111.77
05/05/1971,111.68
06/05/1971,111.06
07/05/1971,110.66
10/05/1971,110.15
11/05/1971,110.33
12/05/1971,110.37
13/05/1971,110.55
14/05/1971,110.74
17/05/1971,109.15
18/05/1971,108.4
19/05/1971,108.33
20/05/1971,108.72
21/05/1971,108.85
24/05/1971,108.42
25/05/1971,107.5
26/05/1971,107.53
27/05/1971,107.6
28/05/1971,108.25
01/06/1971,108.87
02/06/1971,109.56
03/06/1971,110.22
04/06/1971,110.66
07/06/1971,110.76
08/06/1971,110.02
09/06/1971,109.79
10/06/1971,110.06
11/06/1971,110.2
14/06/1971,109.57
15/06/1971,109.36
16/06/1971,109.44
17/06/1971,109.44
18/06/1971,108.16
21/06/1971,106.5
22/06/1971,105.49
23/06/1971,105.99
24/06/1971,106.37
25/06/1971,106.56
28/06/1971,106.45
29/06/1971,107.22
30/06/1971,107.8
01/07/1971,108.47
02/07/1971,108.77
06/07/1971,109.23
07/07/1971,110.01
08/07/1971,110.42
09/07/1971,110.91
12/07/1971,111.24
