Date,value
03/01/1928,17.76
04/01/1928,17.72
05/01/1928,17.55
06/01/1928,17.66
09/01/1928,17.59
10/01/1928,17.37
11/01/1928,17.35
12/01/1928,17.47
13/01/1928,17.58
16/01/1928,17.37
17/01/1928,17.3
18/01/1928,17.26
19/01/1928,17.38
20/01/1928,17.48
23/01/1928,17.59
24/01/1928,17.71
25/01/1928,17.52
26/01/1928,17.63
27/01/1928,17.69
30/01/1928,17.54
31/01/1928,17.57
01/02/1928,17.53
02/02/1928,17.63
03/02/1928,17.4
06/02/1928,17.44
07/02/1928,17.44
08/02/1928,17.49
09/02/1928,17.55
10/02/1928,17.54
14/02/1928,17.44
15/02/1928,17.4
16/02/1928,17.35
17/02/1928,17.04
20/02/1928,16.97
21/02/1928,17.11
23/02/1928,17.13
24/02/1928,17.18
27/02/1928,17.15
28/02/1928,17.16
29/02/1928,17.26
01/03/1928,17.3
02/03/1928,17.3
05/03/1928,17.5
06/03/1928,17.67
07/03/1928,17.58
08/03/1928,17.64
09/03/1928,17.93
12/03/1928,17.94
13/03/1928,17.92
14/03/1928,17.93
15/03/1928,18.07
16/03/1928,18.26
19/03/1928,18.34
20/03/1928,18.46
21/03/1928,18.65
22/03/1928,18.6
23/03/1928,18.78
26/03/1928,18.92
27/03/1928,18.94
28/03/1928,18.89
29/03/1928,18.95
30/03/1928,19.28
02/04/1928,19.02
03/04/1928,19.02
04/04/1928,18.99
05/04/1928,19.23
09/04/1928,19.27
10/04/1928,19.1
11/04/1928,19.44
12/04/1928,19.41
13/04/1928,19.73
16/04/1928,19.64
17/04/1928,19.52
18/04/1928,19.52
19/04/1928,19.63
20/04/1928,19.34
23/04/1928,19.15
24/04/1928,19.25
25/04/1928,19.33
26/04/1928,19.47
27/04/1928,19.68
30/04/1928,19.75
01/05/1928,19.78
02/05/1928,19.83
03/05/1928,19.93
04/05/1928,20.24
07/05/1928,20.41
08/05/1928,20.27
09/05/1928,20.24
10/05/1928,20.21
11/05/1928,20.36
14/05/1928,20.44
15/05/1928,20.39
16/05/1928,20.05
17/05/1928,20.12
18/05/1928,19.92
21/05/1928,19.63
22/05/1928,19.36
23/05/1928,19.75
24/05/1928,19.87
25/05/1928,19.9
28/05/1928,19.57
29/05/1928,19.82
31/05/1928,20
01/06/1928,20.07
04/06/1928,20.01
05/06/1928,19.85
06/06/1928,19.66
07/06/1928,19.61
08/06/1928,19.37
11/06/1928,18.9
12/06/1928,18.34
13/06/1928,18.89
14/06/1928,19.05
15/06/1928,18.74
18/06/1928,18.58
19/06/1928,18.34
20/06/1928,18.57
21/06/1928,18.56
22/06/1928,18.54
25/06/1928,18.47
26/06/1928,18.68
27/06/1928,18.86
28/06/1928,19.07
29/06/1928,19.14
02/07/1928,19.09
03/07/1928,19.29
05/07/1928,19.48
06/07/1928,19.39
09/07/1928,19.45
10/07/1928,19.43
11/07/1928,18.95
12/07/1928,18.81
13/07/1928,18.96
16/07/1928,18.82
17/07/1928,18.8
18/07/1928,19.03
19/07/1928,18.99
20/07/1928,19.03
23/07/1928,19.04
24/07/1928,19.09
25/07/1928,19.2
26/07/1928,19.24
27/07/1928,19.42
30/07/1928,19.47
31/07/1928,19.43
01/08/1928,19.42
02/08/1928,19.33
03/08/1928,19.36
06/08/1928,19.5
07/08/1928,19.49
08/08/1928,19.25
09/08/1928,19.3
10/08/1928,19.25
13/08/1928,19.3
14/08/1928,19.13
15/08/1928,19.47
16/08/1928,19.61
17/08/1928,19.64
20/08/1928,19.74
21/08/1928,20.02
22/08/1928,20
23/08/1928,20.02
24/08/1928,20.34
27/08/1928,20.42
28/08/1928,20.54
29/08/1928,20.58
30/08/1928,20.61
31/08/1928,20.87
04/09/1928,20.97
05/09/1928,21.07
06/09/1928,20.94
07/09/1928,21.09
10/09/1928,20.98
11/09/1928,21.08
12/09/1928,21.16
13/09/1928,21.14
14/09/1928,21.14
17/09/1928,21.28
18/09/1928,21.18
19/09/1928,21.18
20/09/1928,21.22
21/09/1928,21.36
24/09/1928,21.34
25/09/1928,21.41
26/09/1928,21.4
27/09/1928,21.13
28/09/1928,21.14
01/10/1928,21.37
02/10/1928,21.26
03/10/1928,21.19
04/10/1928,21.26
05/10/1928,21.22
08/10/1928,21.14
09/10/1928,21.18
10/10/1928,21.41
11/10/1928,21.51
15/10/1928,21.64
16/10/1928,21.72
17/10/1928,21.79
18/10/1928,21.84
